"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
269424 -nan -nan -nan -nan
269425 -nan -nan -nan -nan
269426 123.500000 123.500000 247.330000 247.330000
269511 -nan -nan -nan -nan
269512 -nan -nan -nan -nan
269513 -nan -nan -nan -nan
269514 -nan -nan -nan -nan
269515 -nan -nan -nan -nan
269516 -nan -nan -nan -nan
269517 -nan -nan -nan -nan
269518 -nan -nan -nan -nan
269519 -nan -nan -nan -nan
269520 -nan -nan -nan -nan
269521 -nan -nan -nan -nan
269522 -nan -nan -nan -nan
269523 -nan -nan -nan -nan
269524 123.500000 123.500000 247.330000 247.330000
269525 -nan -nan -nan -nan
269526 -nan -nan -nan -nan
269527 -nan -nan -nan -nan
269528 -nan -nan -nan -nan
269529 -nan -nan -nan -nan
269530 -nan -nan -nan -nan
269531 -nan -nan -nan -nan
269532 -nan -nan -nan -nan
269533 -nan -nan -nan -nan
269534 -nan -nan -nan -nan
269535 -nan -nan -nan -nan
269536 -nan -nan -nan -nan
269537 -nan -nan -nan -nan
269538 123.500000 123.500000 247.330000 247.330000
269553 -nan -nan -nan -nan
269554 -nan -nan -nan -nan
269555 -nan -nan -nan -nan
269556 -nan -nan -nan -nan
269557 -nan -nan -nan -nan
269558 -nan -nan -nan -nan
269559 -nan -nan -nan -nan
269560 -nan -nan -nan -nan
269561 -nan -nan -nan -nan
269562 -nan -nan -nan -nan
269563 -nan -nan -nan -nan
269564 -nan -nan -nan -nan
269565 -nan -nan -nan -nan
269566 123.500000 123.500000 247.330000 247.330000
269637 -nan -nan -nan -nan
269638 -nan -nan -nan -nan
269639 -nan -nan -nan -nan
269640 -nan -nan -nan -nan
269641 -nan -nan -nan -nan
269642 -nan -nan -nan -nan
269643 -nan -nan -nan -nan
269644 -nan -nan -nan -nan
269645 -nan -nan -nan -nan
269646 -nan -nan -nan -nan
269647 -nan -nan -nan -nan
269648 -nan -nan -nan -nan
269649 -nan -nan -nan -nan
269650 123.500000 123.500000 247.330000 247.330000
269707 -nan -nan -nan -nan
269708 -nan -nan -nan -nan
269709 -nan -nan -nan -nan
269710 -nan -nan -nan -nan
269711 -nan -nan -nan -nan
269712 -nan -nan -nan -nan
269713 -nan -nan -nan -nan
269714 -nan -nan -nan -nan
269715 -nan -nan -nan -nan
269716 -nan -nan -nan -nan
269717 -nan -nan -nan -nan
269718 -nan -nan -nan -nan
269719 -nan -nan -nan -nan
269720 123.500000 123.500000 247.330000 247.330000
269735 -nan -nan -nan -nan
269736 -nan -nan -nan -nan
269737 -nan -nan -nan -nan
269738 -nan -nan -nan -nan
269739 -nan -nan -nan -nan
269740 -nan -nan -nan -nan
269741 -nan -nan -nan -nan
269742 -nan -nan -nan -nan
269743 -nan -nan -nan -nan
269744 -nan -nan -nan -nan
269745 -nan -nan -nan -nan
269746 -nan -nan -nan -nan
269747 -nan -nan -nan -nan
269748 123.500000 123.500000 247.330000 247.330000
269777 -nan -nan -nan -nan
269778 -nan -nan -nan -nan
269779 -nan -nan -nan -nan
269780 -nan -nan -nan -nan
269781 -nan -nan -nan -nan
269782 -nan -nan -nan -nan
269783 -nan -nan -nan -nan
269784 -nan -nan -nan -nan
269785 -nan -nan -nan -nan
269786 -nan -nan -nan -nan
269787 -nan -nan -nan -nan
269788 -nan -nan -nan -nan
269789 -nan -nan -nan -nan
269790 123.500000 123.500000 247.330000 247.330000
269819 -nan -nan -nan -nan
269820 -nan -nan -nan -nan
269821 -nan -nan -nan -nan
269822 -nan -nan -nan -nan
269823 -nan -nan -nan -nan
269824 -nan -nan -nan -nan
269825 -nan -nan -nan -nan
269826 -nan -nan -nan -nan
269827 -nan -nan -nan -nan
269828 -nan -nan -nan -nan
269829 -nan -nan -nan -nan
269830 -nan -nan -nan -nan
269831 -nan -nan -nan -nan
269832 123.500000 123.500000 247.330000 247.330000
269917 -nan -nan -nan -nan
269918 -nan -nan -nan -nan
269919 -nan -nan -nan -nan
269920 -nan -nan -nan -nan
269921 -nan -nan -nan -nan
269922 -nan -nan -nan -nan
269923 -nan -nan -nan -nan
269924 -nan -nan -nan -nan
269925 -nan -nan -nan -nan
269926 -nan -nan -nan -nan
269927 -nan -nan -nan -nan
269928 -nan -nan -nan -nan
269929 -nan -nan -nan -nan
269930 123.500000 123.500000 247.330000 247.330000
270000 inf 123.500000 inf 247.330000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 511375.532556 511375.532556 511499.362556 511499.362556
2 511375.384349 511375.384349 511499.214349 511499.214349
4 511375.278286 511375.278286 511499.108286 511499.108286
6 511375.130964 511375.130964 511498.960964 511498.960964
8 511374.759664 511374.759664 511498.589664 511498.589664
17 511374.608488 511374.608488 511498.438488 511498.438488
41 316348.690118 316348.690118 316472.520118 316472.520118
44 316348.645097 316348.645097 316472.475097 316472.475097
59 316348.504084 316348.504084 316472.334084 316472.334084
63 316348.470298 316348.470298 316472.300298 316472.300298
70 316348.380566 316348.380566 316472.210566 316472.210566
81 193269.462536 193269.462536 193393.292536 193393.292536
100 193269.428147 193269.428147 193393.258147 193393.258147
110 193269.398648 193269.398648 193393.228648 193393.228648
441 161007.422281 161007.422281 161131.252281 161131.252281
446 161007.290756 161007.290756 161131.120756 161131.120756
448 161007.188564 161007.188564 161131.018564 161131.018564
463 161007.133486 161007.133486 161130.963486 161130.963486
801 138430.852222 138430.852222 138554.682222 138554.682222
803 138430.834997 138430.834997 138554.664997 138554.664997
808 138430.717167 138430.717167 138554.547167 138554.547167
820 138430.691404 138430.691404 138554.521404 138554.521404
822 138430.648903 138430.648903 138554.478903 138554.478903
267189 -nan -nan -nan -nan
267190 -nan -nan -nan -nan
267191 -nan -nan -nan -nan
267192 -nan -nan -nan -nan
267193 -nan -nan -nan -nan
267194 -nan -nan -nan -nan
267195 -nan -nan -nan -nan
267196 -nan -nan -nan -nan
267197 -nan -nan -nan -nan
267198 -nan -nan -nan -nan
267199 -nan -nan -nan -nan
267200 -nan -nan -nan -nan
267201 -nan -nan -nan -nan
267202 123.500000 123.500000 247.330000 247.330000
268981 123.499984 123.499984 247.329984 247.329984
268984 123.499950 123.499950 247.329950 247.329950
268987 123.499836 123.499836 247.329836 247.329836
268991 123.499815 123.499815 247.329815 247.329815
268993 123.499698 123.499698 247.329698 247.329698
269357 -nan -nan -nan -nan
269358 -nan -nan -nan -nan
269359 -nan -nan -nan -nan
269360 -nan -nan -nan -nan
269361 -nan -nan -nan -nan
269362 -nan -nan -nan -nan
269363 -nan -nan -nan -nan
269364 -nan -nan -nan -nan
269365 -nan -nan -nan -nan
269366 -nan -nan -nan -nan
