"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 523776.718083 523776.718083 523925.868083 523925.868083
11 523776.402969 523776.402969 523925.552969 523925.552969
13 523775.824410 523775.824410 523924.974410 523924.974410
21 523775.761393 523775.761393 523924.911393 523924.911393
81 255578.851293 255578.851293 255728.001293 255728.001293
107 255578.368487 255578.368487 255727.518487 255727.518487
161 119079.743670 119079.743670 119228.893670 119228.893670
165 119079.674726 119079.674726 119228.824726 119228.824726
169 119079.591852 119079.591852 119228.741852 119228.741852
180 119079.565632 119079.565632 119228.715632 119228.715632
187 119079.442542 119079.442542 119228.592542 119228.592542
841 86439.363381 86439.363381 86588.513381 86588.513381
855 86439.231562 86439.231562 86588.381562 86588.381562
859 86439.131347 86439.131347 86588.281347 86588.281347
263915 -nan -nan -nan -nan
263916 -nan -nan -nan -nan
263917 -nan -nan -nan -nan
263918 -nan -nan -nan -nan
263919 -nan -nan -nan -nan
263920 -nan -nan -nan -nan
263921 -nan -nan -nan -nan
263922 -nan -nan -nan -nan
263923 -nan -nan -nan -nan
263924 -nan -nan -nan -nan
263925 -nan -nan -nan -nan
263926 -nan -nan -nan -nan
263927 -nan -nan -nan -nan
263928 26056.893099 26056.893099 26206.043099 26206.043099
264265 -nan -nan -nan -nan
264266 -nan -nan -nan -nan
264267 -nan -nan -nan -nan
264268 -nan -nan -nan -nan
264269 -nan -nan -nan -nan
264270 -nan -nan -nan -nan
264271 -nan -nan -nan -nan
264272 -nan -nan -nan -nan
264273 -nan -nan -nan -nan
264274 -nan -nan -nan -nan
264275 -nan -nan -nan -nan
264276 -nan -nan -nan -nan
264277 -nan -nan -nan -nan
264278 26056.893099 26056.893099 26206.043099 26206.043099
264642 26056.892013 26056.892013 26206.042013 26206.042013
264643 26056.887651 26056.887651 26206.037651 26206.037651
264647 26056.886512 26056.886512 26206.036512 26206.036512
264649 26056.711124 26056.711124 26205.861124 26205.861124
266615 -nan -nan -nan -nan
266616 -nan -nan -nan -nan
266617 -nan -nan -nan -nan
266618 -nan -nan -nan -nan
266619 -nan -nan -nan -nan
266620 -nan -nan -nan -nan
266621 -nan -nan -nan -nan
266622 -nan -nan -nan -nan
266623 -nan -nan -nan -nan
266624 -nan -nan -nan -nan
266625 -nan -nan -nan -nan
266626 -nan -nan -nan -nan
266627 -nan -nan -nan -nan
266628 26056.893099 26056.893099 26206.043099 26206.043099
266965 -nan -nan -nan -nan
266966 -nan -nan -nan -nan
